Year,区域,签订日期,项目名称,合同编号,类型,甲方名称,合同总金额,key
2020,北方,2020-04-10,海淀翠湖补充协议（完成）,CRCCRE-SJ-CZ-2020-002,方案,北京锐达置业有限公司,666894.3,16
2020,建设,2020-01-19,西山梧桐补充协议,CRCCRE-SJ-CZ-2019-003—B1,方案,中铁建设集团有限公司,472766,17
2019,北方,2019-02-03,"唐山高新区A0102项目
（唐颂国际）",CRCCRE-SJ-CZ-2019-001,方案+施工图,唐山启创房地产开发有限公司,5114261.25,18
2019,建设,2019-02-25,门头沟项目,CRCCRE-SJ-CZ-2019-003,方案,中铁建设集团有限公司,1800000,19
2025,北方,2025-08-11,北京市通州区梨园项目,CRCCRE-SJ-XM-2025-020,设计总包（方案外委）,北京弘邑置业有限公司,896530,20
2025,北方,2025-08-11,北京市通州区梨园项目,CRCCRE-SJ-XM-2025-020,设计总包（景观外委）,北京弘邑置业有限公司,450000,21
2025,北方,2025-08-11,北京市通州区梨园项目,CRCCRE-SJ-XM-2025-020,设计总包（精装外委）,北京弘邑置业有限公司,1064260,22
2025,北方,2025-08-11,北京市通州区梨园项目,CRCCRE-SJ-XM-2025-020,设计总包（精装外委）,北京弘邑置业有限公司,201583.8,23
2025,北方,2025-08-11,北京市通州区梨园项目,CRCCRE-SJ-XM-2025-020,咨询,北京弘邑置业有限公司,170946.7,24
2025,北方,2025-08-11,北京市通州区梨园项目,CRCCRE-SJ-XM-2025-020,BIM,北京弘邑置业有限公司,83520.22,25
2019,北方,2019-11-13,天津国印二期三期项目,CRCCRE-SJ-ZX-2019-011,咨询,天津弘创置业有限公司,952900,26
2025,北方,2025-06-11,天津国印二期三期项目,CRCCRE-SJ-ZX-2019-011-B1,咨询,天津弘创置业有限公司,166605.24,27
2019,建设,2019-09-28,平谷夏各庄项目,CRCCRE-SJ-CZ-2019-011,方案,中铁建设集团有限公司,3150000,28
2019,北方,2019-12-12,"朝阳水牛坊项目
（绿建咨询）
完成",CRCCRE-SJ-GC-2019-001,绿建咨询,北京景盛诚泰置业有限公司,296774,29
2018,北方,2018-03-21,房山文娱项目,CRCCRE-SJ-CZ-2018-002,方案,中铁房地产集团北方有限公司,1000000,30
2018,北方,2018-05-10,海淀翠湖科技园项目,CRCCRE-SJ-CZ-2018-003,方案+施工图,北京锐达置业有限公司,12212574,31
2019,北方,2019-07-19,海淀翠湖项目（完成）,CRCCRE-SJ-CZ-2018-003-B1,方案+施工图,北京锐达置业有限公司,2700000,32
2018,北方,2018-03-06,金达可研（完成）,CRCCRE-SJ-CZ-2018-010,可研,中铁房地产集团北京金达世纪房地产开发有限公司,350000,33
2018,北方,2018-03-21,正达可研,CRCCRE-SJ-CZ-2017-025,可研,中铁房地产集团北方有限公司,400000,34
2018,北方,2018-12-24,弘创强排（完成）,CRCCRE-SJ-CZ-2018-043,可研,天津弘创置业有限公司,300000,35
2018,东北,2018-01-11,长春西派府项目（完成）,CRCCRE-SJ-ZX-2018-003,咨询,长春玖华房地产开发有限公司,1133641,36
2018,北方,2018-12-10,"西山梧桐项目
（完结）",CRCCRE-SJ-ZX-2018-009,咨询,北京嘉达置业有限公司,500000,37
2018,北方,2018-10-20,"北京朝阳马家湾项目
（完成）",CRCCRE-SJ-GC-2018-005,绿建咨询,北京景盛诚泰置业有限公司,266312,38
2018,北方,2018-08-15,"北京朝阳马家湾项目
（完成）",CRCCRE-SJ-HS-2018-001,方案+施工图,北京景盛诚泰置业有限公司,3024853,39
2018,北方,2018-08-15,朝阳水牛坊项目,CRCCRE-SJ-HS-2018-003,方案+施工图,北京景盛诚泰置业有限公司,3959614,40
2018,北方,2018-06-05,西山梧桐项目（完成）,CRCCRE-SJ-BIM-2018-003,BIM,北京嘉达置业有限公司,298500,41
2018,北方,2018-11-20,"北京马家湾项目
（完成）",CRCCRE-SJ-BIM-2018-011,BIM,北京景盛诚泰置业有限公司,532624,42
2018,北方,2018-11-20,"北京水牛坊项目
（完成）",CRCCRE-SJ-BIM-2018-012,BIM,北京景盛诚泰置业有限公司,487884,43
2018,北方,2018-02-06,雄安高铁项目（完成）,CRCCRE-SJ-CH-2018-001,策划,北京欣达置业有限公司,100000,44
2018,创投,2018-06-21,长租公寓课题研究（转出）,CRCCRE-SJ-CH-2018-008,策划,中铁房地产集团创新产业投资有限公司,1500000,45
2018,北方,2018-08-31,山东菏泽项目（执行完成）,CRCCRE-SJ-CH-2018-013,策划,中铁房地产集团北方有限公司,150000,46
2017,东北,2017-07-03,大连山语城项目（完成）,CRCCRE-SJ-CZZX-2017-004,方案,大连京信置业有限公司,2420373.6,47
2017,北方,2017-06-15,密云及顺义项目（完成）,CRCCRE-SJ-CZZX-2017-008,可研,中铁房地产集团北京金达世纪房地产开发有限公司,100000,48
2017,创投,2017-08-18,"创新可研
（未执行）",CRCCRE-SJ-CZZX-2017-012,可研,中铁房地产集团创新产业投资有限公司,300000,49
2017,创投,2017-12-26,成都青城山项目,CRCCRE-SJ-CZZX-2017-012-B1,可研,中铁房地产集团创新产业投资有限公司,150000,50
2017,北方,2017-12-08,天津弘创可研（完成）,CRCCRE-SJ-CZ-2017-019,可研,中铁房地产集团北方有限公司,400000,51
2017,北方,2017-11-15,嘉业强排（完成）,CRCCRE-SJ-CZ-2017-020,可研,中铁嘉业（北京）投资有限公司,200000,52
2017,创投,2017-08-16,创新战略协议（完成）,CRCCRE-SJ-CHZX-2017-003,策划,中铁房地产集团创新产业投资有限公司,1440000,53
2017,北方,2017-05-05,嘉业策划（完成）,CRCCRE-SJ-CH-2017-005,策划,中铁嘉业（北京）投资有限公司,150000,54
2016,东北,2016-12-08,长春洋浦大街项目（完成）,CRCCRE-SJ-CZZX-2016-003,方案,长春玖华房地产开发有限公司,3399042,55
2016,东北,2016-10-24,长春花语城项目（完成）,CRCCRE-SJ-ZX-2016-002,咨询,长春中铁房地产开发有限公司,194166,56
2020,北方,2020-02-27,海淀翠湖项目,CRCCRE-SJ-BIM-2020-001,BIM,中国铁建大桥工程局集团有限公司,810000,57
2020,北方,2020-05-17,正定售楼处项目（完成）,CRCCRE-SJ-GC-2020-006,施工图,河北兴铁房地产开发有限公司,200000,58
2020,北方,2020-05-13,天津国印四期项目,CRCCRE-SJ-ZX-2020-007,咨询,天津弘创置业有限公司,503900,59
2020,北方,2020-05-19,"正定项目A号地块咨询
（完成）",CRCCRE-SJ-ZX-2020-009,咨询,河北兴铁房地产开发有限公司,924910,60
2020,北方,2020-05-29,正定项目C号、D号地块方案     （完成）,CRCCRE-SJ-CZ-2020-008,方案,河北兴铁房地产开发有限公司,5832724,61
2020,外部,2020-06-30,门头沟装配式深化,CRCCRE-SJ-BIM-2020-010,BIM智慧建造工作室,中科建（北京）工程技术研究院有限公司,95625,62
2025,外部,2025-03-01,中铁建设金华西关项目,CRCCRE-SJ-ZX-2025-002,咨询,中铁建设集团金华置业有限公司,298931.5,63
2025,外部,2025-03-01,中铁建设金华西关项目,CRCCRE-SJ-ZX-2025-001,咨询,中铁建设集团金华置业有限公司,472985.8,64
2020,外部,2020-08-28,逸品汇商业中心项目（完成）,CRCCRE-SJ-ZX-2020-010,咨询,中铁房地产开发（保定）有限公司,95100,65
